Kundennummer,Produktname,Produkt-ID,Eröffnungsdatum
K00000,Sparbuch,6238f2a6-dcd2-4e44-9b1b-f3d63fefec5a,2020-10-27
K00000,Wertpapierdepot,5a25c649-1d4b-4a43-95fa-943357149266,2018-02-26
K00000,Kreditkarte,23a04412-add1-4c02-843f-2987fc3c5c67,2024-03-12
K00000,Debitkarte,40948dd8-b841-4a3c-9b69-6efbaafa614a,2021-10-17
K00001,Immobilienfinanzierung,70d69b5b-6378-4ffd-8fd2-3f6d6a2d1af9,2020-02-27
K00002,Immobilienfinanzierung,5f3c0f3b-6943-42d6-8aa6-88bdf9b228fd,2015-04-28
K00002,Wertpapierdepot,3333549a-5771-479f-98a6-18fe16583338,2019-10-03
K00002,Debitkarte,5015d5fa-8440-458f-a836-00e71f0c8948,2017-09-23
K00002,Girokonto,7f818c7a-2243-4448-a0b7-044472894661,2018-01-08
K00003,Kreditkarte,f5662a62-0fde-4dfa-830a-0fedd113e670,2015-06-03
K00003,Immobilienfinanzierung,3313dfdb-4602-43d4-8f4d-0366cd35218f,2022-10-13
K00003,Wertpapierdepot,54a6de21-6c57-4e8b-b96a-a97a9a4db7dc,2020-02-29
K00004,Kreditkarte,354c9b24-62fd-4941-abe0-f6f757db6daa,2017-11-21
K00004,Konsumkredit,b2e665a6-71b3-41fa-80f9-0da868bc59c7,2015-08-18
K00004,Sparbuch,67d2bcdf-cdae-4b66-854c-b6571d702db0,2016-06-29
K00004,Debitkarte,5b5d6fbc-fa37-4d23-af04-6d108fc0ac65,2022-05-27
K00004,Immobilienfinanzierung,a2a3888c-9737-490a-803d-802fe3c75ec9,2016-02-01
K00005,Immobilienfinanzierung,0bf555a4-0055-445b-8445-3f878f35da9a,2018-04-29
K00005,Debitkarte,ff6f5f41-fbaa-46ed-8aaa-15b7f1b06d2a,2016-10-03
K00005,Wertpapierdepot,b8192559-931c-40eb-bfe7-14e11f118482,2015-12-30
K00005,Konsumkredit,252149f9-fc1a-4b6d-8636-44cbc0e75f81,2020-05-06
K00006,Immobilienfinanzierung,47686738-1680-4507-9140-ce3d7ffec5d2,2024-12-22
K00006,Sparbuch,18b1b630-e130-44a2-aa52-99e2aab26003,2025-02-15
K00006,Kreditkarte,cf8e64e6-59d0-4ce0-b7cc-3e1443044acb,2016-08-11
K00006,Konsumkredit,ed250c63-0b47-42f9-b5e2-c8dcc84de370,2021-08-12
K00007,Debitkarte,7f6bcb7f-424a-4d3d-9152-57a178bec068,2023-01-18
K00007,Konsumkredit,7122a85f-26b0-4a1f-b9f5-dc3469f40459,2015-11-16
K00008,Immobilienfinanzierung,92b76bab-f8c9-44e7-b8a9-0790d6a648e9,2019-05-17
K00009,Kreditkarte,f1e175d9-65b3-4347-ac8d-b04a705d9395,2021-08-04
